Stopped when JOY disconnect,4DE,00,00,08,00,42,FE,01,FF,FF,FF,FF
JOY ONLINE,198 (JOY),00,00,05,FD,00,CF,C0,FC,"
",,
NEUTRAL,198 (JOY),00,00,05,F2,10,CE,C0,FC,"
",,
DRIVE,198 (JOY),00,00,05,F7,40,CB,90,FC,"
",,
PARKING,198 (JOY),00,00,05,F8,00,CF,C0,FC,"
",,
,0B5 (D6 - 08 ->  D ON -> 36),00,00,08,E0,01,80,00,08,30,06,6B
"D4 - 80, D7 - 00 when D, 7D 02 when P",0B4 (TEST P),00,00,08,34,00,00,00,7D,FF,FF,02
,0A8 (D7 - brake 63 -> 03),00,00,08,8D,F5,02,F2,02,F1,03,03
,0B5,00,00,08,DC,05,80,00,08,30,08,61
UNLOCK JOY PRESSED,198 (JOY),00,00,05,FA,00,CF,90,FC,"
",,
JOY ACTIVE?,337,00,00,02,FD,FF,"
",,,,,
